Name,Date,Open,Close,Volume,OpenInt
Bahman Group-a,20010407,885.37,885.37,5610,20869200.00
Bahman Group-a,20010408,885.37,897.27,12044,45286313.00
Bahman Group-a,20010409,892.75,899.65,3284,12377384.00
Bahman Group-a,20010410,902.03,904.89,6068,23014672.00
Bahman Group-a,20010411,904.89,916.55,14358,55183624.00
Bahman Group-a,20010414,918.69,916.55,10802,41686660.00
Bahman Group-a,20010415,918.69,928.21,19247,74706328.00
Bahman Group-a,20010425,548.12,575.97,7478,17384345.00
Bahman Group-a,20010429,604.77,604.77,3630,9223830.00
Bahman Group-a,20010430,618.81,634.99,3786,10003128.00
Bahman Group-a,20010501,666.65,666.17,50574,141652576.00
Bahman Group-a,20010502,663.08,666.41,46549,128260615.00
Bahman Group-a,20010505,666.41,666.41,51210,143294672.00
Bahman Group-a,20010506,665.69,666.41,107254,300098451.00
Bahman Group-a,20010507,666.17,659.27,23626,65929462.00
Bahman Group-a,20010508,657.36,642.85,13070,35961054.00
Bahman Group-a,20010509,642.85,618.81,19632,51902915.00
Bahman Group-a,20010512,642.13,616.43,17082,44673146.00
Bahman Group-a,20010513,616.43,595.48,16319,41718664.00
Bahman Group-a,20010515,595.48,609.29,12348,31352717.00
Bahman Group-a,20010516,610.72,616.43,53686,139211062.00
Bahman Group-a,20010519,617.38,615.24,60470,157611979.00
Bahman Group-a,20010520,615.71,606.91,53349,136977595.00
Bahman Group-a,20010521,615.24,607.38,83515,216034150.00
Bahman Group-a,20010523,619.05,619.28,528589,1369483053.00
Bahman Group-a,20010526,619.28,630.71,22559,59791942.00
Bahman Group-a,20010527,628.33,640.23,20800,55299757.00
Bahman Group-a,20010528,640.23,655.70,25620,70453748.00
Bahman Group-a,20010529,659.74,661.17,56898,156640466.00
Bahman Group-a,20010530,665.93,643.32,84582,232428019.00
Bahman Group-a,20010602,651.65,654.51,36429,99905087.00
Bahman Group-a,20010603,652.37,644.99,33144,90519725.00
Bahman Group-a,20010606,645.94,649.99,26229,71778573.00
Bahman Group-a,20010609,648.56,649.99,53008,144670273.00
Bahman Group-a,20010611,652.60,642.61,28691,78464332.00
Bahman Group-a,20010612,642.61,640.23,11059,29813642.00
Bahman Group-a,20010613,640.23,640.23,153081,318801586.00
Bahman Group-a,20010616,640.23,640.23,19011,50909357.00
Bahman Group-a,20010617,640.23,637.13,32863,87866545.00
Bahman Group-a,20010618,637.37,630.47,50066,101237951.00
Bahman Group-a,20010619,628.33,628.09,57741,151329907.00
Bahman Group-a,20010620,618.81,617.86,39797,103594545.00
Bahman Group-a,20010623,624.76,635.47,40692,108125020.00
Bahman Group-a,20010624,635.47,652.13,48381,130529798.00
Bahman Group-a,20010625,646.42,642.61,37298,100951622.00
Bahman Group-a,20010626,642.13,642.61,48755,131590360.00
Bahman Group-a,20010627,642.13,654.51,203964,551031758.00
Bahman Group-a,20010630,643.08,655.22,172273,473729116.00
Bahman Group-a,20010701,655.22,671.17,106616,297306617.00
Bahman Group-a,20010702,676.17,680.93,102298,292620443.00
Bahman Group-a,20010703,681.16,686.64,59090,169752781.00
Bahman Group-a,20010704,687.83,708.06,157611,469692674.00
Bahman Group-a,20010707,706.63,681.40,28419,82649120.00
Bahman Group-a,20010708,681.40,687.83,38795,112362542.00
Bahman Group-a,20010709,685.69,683.07,105414,303611801.00
Bahman Group-a,20010710,683.07,678.31,285306,799473868.00
Bahman Group-a,20010711,677.83,682.83,27590,78088193.00
Bahman Group-a,20010714,694.49,701.87,179146,528302287.00
Bahman Group-a,20010822,708.77,689.97,276387,822552850.00
Bahman Group-a,20010825,689.26,682.83,100400,288208895.00
Bahman Group-a,20010826,689.02,675.69,145031,414951318.00
Bahman Group-a,20010827,669.26,666.41,107310,300920973.00
Bahman Group-a,20010828,668.79,673.07,207152,579296273.00
Bahman Group-a,20010829,666.41,663.79,124360,347334020.00
Bahman Group-a,20010901,643.80,659.27,146111,402924672.00
Bahman Group-a,20010902,651.41,642.13,79687,214947447.00
Bahman Group-a,20010903,619.28,642.13,421196,1114168379.00
Bahman Group-a,20010904,639.75,642.61,255927,687754933.00
Bahman Group-a,20010905,635.47,656.89,71078,191946110.00
Bahman Group-a,20010908,656.65,666.41,71609,199845889.00
Bahman Group-a,20010909,683.07,683.07,120537,343699505.00
Bahman Group-a,20010910,683.31,678.07,78754,225919893.00
Bahman Group-a,20010911,674.26,678.31,120077,341358807.00
Bahman Group-a,20010912,656.89,661.65,53012,147428483.00
Bahman Group-a,20010915,658.79,661.17,154005,425354598.00
Bahman Group-a,20010916,630.71,660.93,491842,1357043449.00
Bahman Group-a,20010917,629.52,658.08,593854,1626783274.00
Bahman Group-a,20010918,651.18,652.84,266208,731228202.00
Bahman Group-a,20010919,647.37,654.51,178077,485446745.00
Bahman Group-a,20010922,654.51,653.56,64771,178054239.00
Bahman Group-a,20010923,648.80,653.08,207713,567888274.00
Bahman Group-a,20010924,642.85,651.65,73386,198816513.00
Bahman Group-a,20010925,630.71,647.37,101015,271653548.00
Bahman Group-a,20010926,639.51,642.13,12099,32589504.00
Bahman Group-a,20010929,630.71,640.94,241603,643667165.00
Bahman Group-a,20010930,639.75,642.61,202054,543234036.00
Bahman Group-a,20011002,642.61,649.27,44283,119608040.00
Bahman Group-a,20011003,642.61,647.37,66902,180610541.00
Bahman Group-a,20011006,647.13,652.13,101378,275599259.00
Bahman Group-a,20011007,647.37,652.60,58477,159717891.00
Bahman Group-a,20011008,652.60,652.60,93068,253200310.00
Bahman Group-a,20011009,643.08,646.89,153143,413392684.00
Bahman Group-a,20011010,644.99,643.80,8499,23000849.00
Bahman Group-a,20011013,638.56,640.94,109425,294291224.00
Bahman Group-a,20011014,637.61,637.85,13700,36711175.00
Bahman Group-a,20011016,636.18,642.13,1476629,3972013203.00
Bahman Group-a,20011017,642.13,640.23,393174,1058283405.00
Bahman Group-a,20011020,639.04,649.99,41353,111247722.00
Bahman Group-a,20011021,654.27,671.17,51869,145174419.00
Bahman Group-a,20011022,670.93,673.79,113536,321514272.00
Bahman Group-a,20011023,673.55,684.26,178240,508402360.00
Bahman Group-a,20011024,684.50,687.35,46462,133296636.00
Bahman Group-a,20011027,687.35,702.11,74512,216004828.00
Bahman Group-a,20011028,690.68,702.11,142173,413589565.00
Bahman Group-a,20011029,699.01,702.35,109108,321374508.00
Bahman Group-a,20011030,702.35,702.35,31334,92263314.00
Bahman Group-a,20011031,702.35,702.82,64720,191185068.00
Bahman Group-a,20011103,702.82,714.01,57099,170241199.00
Bahman Group-a,20011104,714.01,688.07,33188,99310409.00
Bahman Group-a,20011105,688.54,714.01,94717,283542269.00
Bahman Group-a,20011106,714.01,714.01,71480,214409514.00
Bahman Group-a,20011107,713.53,713.77,22750,68194859.00
Bahman Group-a,20011110,711.87,713.53,168105,503606449.00
Bahman Group-a,20011111,713.06,698.30,49985,148855014.00
Bahman Group-a,20011112,687.83,673.31,34580,99281247.00
Bahman Group-a,20011113,666.65,673.55,160811,450582589.00
Bahman Group-a,20011114,673.55,683.54,44704,127574751.00
Bahman Group-a,20011117,684.97,675.21,10747,30841947.00
Bahman Group-a,20011118,671.17,673.31,27996,78852553.00
Bahman Group-a,20011119,673.31,674.74,22246,62940456.00
Bahman Group-a,20011120,672.60,668.07,36295,102182310.00
Bahman Group-a,20011121,668.07,668.07,33790,94638204.00
Bahman Group-a,20011124,668.55,677.12,474923,1342883758.00
Bahman Group-a,20011125,681.64,690.45,392815,1130265317.00
Bahman Group-a,20011126,693.78,696.63,467001,1367141545.00
Bahman Group-a,20011127,694.73,694.25,49080,143290225.00
Bahman Group-a,20011128,694.25,683.07,42361,122232452.00
Bahman Group-a,20011201,682.83,683.07,157862,452944954.00
Bahman Group-a,20011202,683.07,683.07,69421,198559720.00
Bahman Group-a,20011203,683.07,683.07,166504,477894222.00
Bahman Group-a,20011204,685.45,685.45,444275,1279550369.00
Bahman Group-a,20011205,687.35,683.31,127411,367182320.00
Bahman Group-a,20011208,683.07,683.07,352500,1011610780.00
Bahman Group-a,20011209,685.45,683.54,532425,1528255994.00
Bahman Group-a,20011210,683.31,690.21,1415475,4062510940.00
Bahman Group-a,20011211,694.25,715.44,96203,287575701.00
Bahman Group-a,20011212,723.53,723.53,261798,794135138.00
Bahman Group-a,20011215,740.19,749.71,246010,765538998.00
Bahman Group-a,20011217,761.61,785.41,187173,536674926.00
Bahman Group-a,20011218,785.41,773.99,223504,726368455.00
Bahman Group-a,20011219,771.13,772.80,317194,1027495891.00
Bahman Group-a,20011222,763.75,734.24,23490,73008614.00
Bahman Group-a,20011223,725.91,734.24,177995,546082432.00
Bahman Group-a,20011224,731.86,741.38,131025,407071278.00
Bahman Group-a,20011225,741.14,741.14,342763,1062898266.00
Bahman Group-a,20011226,735.19,746.62,177316,551542520.00
Bahman Group-a,20011229,745.90,745.90,44454,139223681.00
Bahman Group-a,20011230,744.71,744.95,81388,254252915.00
Bahman Group-a,20011231,744.95,742.81,46380,144264796.00
Bahman Group-a,20020101,742.57,742.57,84254,263302691.00
Bahman Group-a,20020102,715.91,737.33,65944,202563178.00
Bahman Group-a,20020105,725.91,725.91,99399,302464099.00
Bahman Group-a,20020106,723.53,721.15,327490,992232336.00
Bahman Group-a,20020107,721.15,725.91,237250,719473773.00
Bahman Group-a,20020108,725.91,725.91,105437,320692792.00
Bahman Group-a,20020112,725.91,732.57,54684,167420154.00
Bahman Group-a,20020113,722.82,725.91,79098,241077145.00
Bahman Group-a,20020114,725.91,728.29,82179,250722489.00
Bahman Group-a,20020115,728.05,722.82,58800,177924906.00
Bahman Group-a,20020116,718.77,725.91,174607,528952856.00
Bahman Group-a,20020119,721.39,738.05,98358,301069214.00
Bahman Group-a,20020120,744.95,743.05,124154,389184369.00
Bahman Group-a,20020121,743.28,749.71,124293,390085145.00
Bahman Group-a,20020122,749.71,773.75,368117,1181530717.00
Bahman Group-a,20020123,773.75,761.37,172926,554079882.00
Bahman Group-a,20020126,760.66,761.13,118272,377392266.00
Bahman Group-a,20020127,760.66,761.13,80351,256631203.00
Bahman Group-a,20020128,759.23,754.95,12090,38264682.00
Bahman Group-a,20020129,726.39,740.19,74070,230791197.00
Bahman Group-a,20020130,737.57,737.81,57785,179262869.00
Bahman Group-a,20020202,735.43,734.95,133098,412117495.00
Bahman Group-a,20020203,728.05,737.81,117026,356945525.00
Bahman Group-a,20020204,722.10,737.81,80760,248853096.00
Bahman Group-a,20020205,737.57,737.81,307462,951556030.00
Bahman Group-a,20020206,737.81,737.10,129871,402140833.00
Bahman Group-a,20020209,730.67,736.86,38350,118537652.00
Bahman Group-a,20020210,727.34,737.10,271843,839116458.00
Bahman Group-a,20020212,728.05,735.67,44468,135939499.00
Bahman Group-a,20020213,731.86,737.81,770911,2385747578.00
Bahman Group-a,20020216,733.29,734.72,14353,44072787.00
Bahman Group-a,20020217,734.48,722.34,6694,20395385.00
Bahman Group-a,20020218,718.77,727.81,76148,232039256.00
Bahman Group-a,20020219,725.67,735.19,72484,221871142.00
Bahman Group-a,20020220,734.72,736.86,171814,531190689.00
Bahman Group-a,20020224,735.43,737.81,326746,1012033572.00
Bahman Group-a,20020225,738.05,737.81,30961,95989573.00
Bahman Group-a,20020226,737.10,737.57,122691,380255855.00
Bahman Group-a,20020227,736.86,734.95,231497,715265849.00
Bahman Group-a,20020302,733.53,740.19,103214,318590183.00
Bahman Group-a,20020304,739.71,740.19,331930,1028996593.00
Bahman Group-a,20020305,737.81,737.81,156638,485540172.00
Bahman Group-a,20020306,735.43,737.81,66113,204633464.00
Bahman Group-a,20020309,737.57,742.57,252164,783780864.00
Bahman Group-a,20020310,743.76,742.57,145087,452959828.00
Bahman Group-a,20020311,742.09,746.62,196143,612916188.00
Bahman Group-a,20020312,743.76,737.81,2660424,8269792379.00
Bahman Group-a,20020313,738.05,744.71,54708,170252822.00
Bahman Group-a,20020316,742.57,737.81,49484,153465840.00
Bahman Group-a,20020317,737.81,742.57,244151,755382905.00
Bahman Group-a,20020318,737.57,737.81,119740,370914868.00
Bahman Group-a,20020319,737.10,737.81,108474,336040198.00
Bahman Group-a,20020326,737.57,736.86,11266,34906496.00
Bahman Group-a,20020327,737.33,737.81,57960,179925865.00
Bahman Group-a,20020330,737.57,737.81,102062,316361637.00
Bahman Group-a,20020331,733.53,737.81,109585,338291112.00
Bahman Group-a,20020403,737.81,736.62,79089,243895255.00
Bahman Group-a,20020406,734.24,736.62,23000,71113572.00
Bahman Group-a,20020407,736.62,736.62,62733,194068659.00
Bahman Group-a,20020408,736.62,736.62,142234,439984464.00
Bahman Group-a,20020409,735.91,736.62,286294,884105109.00
Bahman Group-a,20020410,735.19,736.62,139221,430386347.00
Bahman Group-a,20020413,735.19,737.81,391340,1209713505.00
Bahman Group-a,20020414,734.24,737.81,143031,442846732.00
Bahman Group-a,20020415,737.57,737.81,96330,298542188.00
Bahman Group-a,20020416,736.86,754.47,166249,520324365.00
Bahman Group-a,20020417,753.99,752.09,15683,49688791.00
Bahman Group-a,20020420,749.23,752.09,109860,346282849.00
Bahman Group-a,20020421,749.71,753.28,75464,237889986.00
Bahman Group-a,20020422,752.80,753.28,100329,317407767.00
Bahman Group-a,20020423,755.66,773.51,44154,141239844.00
Bahman Group-a,20020424,773.75,774.22,98484,324088872.00
Bahman Group-a,20020427,773.51,773.27,75269,244374196.00
Bahman Group-a,20020428,771.84,785.41,84972,278977522.00
Bahman Group-a,20020429,785.41,793.50,236566,781166488.00
Bahman Group-a,20020430,790.17,773.51,138054,455240735.00
Bahman Group-a,20020501,773.51,770.42,245236,794530731.00
Bahman Group-a,20020504,770.42,761.61,65661,211731335.00
Bahman Group-a,20020505,755.66,754.47,26671,84638081.00
Bahman Group-a,20020506,739.24,725.91,73740,230648757.00
Bahman Group-a,20020507,725.20,737.57,72358,220553478.00
Bahman Group-a,20020508,737.33,738.05,93547,290260414.00
Bahman Group-a,20020512,740.19,738.05,33107,102569896.00
Bahman Group-a,20020514,735.43,726.86,127012,388867331.00
Bahman Group-a,20020515,725.91,725.91,103894,316709104.00
Bahman Group-a,20020518,719.96,725.91,57432,174405421.00
Bahman Group-a,20020519,725.91,724.48,170683,520245510.00
Bahman Group-a,20020520,724.24,720.91,87490,265304365.00
Bahman Group-a,20020521,718.77,716.63,529912,1593471875.00
Bahman Group-a,20020522,716.63,721.39,626917,1891365112.00
Bahman Group-a,20020525,718.77,721.39,86808,262621291.00
Bahman Group-a,20020526,721.63,725.67,306069,928182233.00
Bahman Group-a,20020527,725.91,740.43,71014,220125979.00
Bahman Group-a,20020528,740.19,743.05,27165,84740113.00
Bahman Group-a,20020529,743.76,744.71,40931,128082734.00
Bahman Group-a,20020601,744.71,746.38,62770,196534448.00
Bahman Group-a,20020602,746.38,761.61,71313,225267540.00
Bahman Group-a,20020603,761.61,746.85,32546,103596270.00
Bahman Group-a,20020608,746.85,740.19,33786,105132718.00
Bahman Group-a,20020609,740.19,737.81,84016,260552011.00
Bahman Group-a,20020610,737.81,735.43,60674,187629472.00
Bahman Group-a,20020611,735.43,733.05,48699,149912796.00
Bahman Group-a,20020612,730.67,733.05,4033790,8540331529.00
Bahman Group-a,20020615,733.05,730.67,33304,102216091.00
Bahman Group-a,20020616,732.57,731.86,817717,2514413294.00
Bahman Group-a,20020617,731.38,732.57,1837645,5654150736.00
Bahman Group-a,20020618,732.57,733.53,826661,2545727655.00
Bahman Group-a,20020619,733.76,734.24,986255,3041710216.00
Bahman Group-a,20020622,735.19,734.72,1269376,3924133886.00
Bahman Group-a,20020623,735.43,735.43,76254,235693538.00
Bahman Group-a,20020624,735.19,735.43,640664,1979746074.00
Bahman Group-a,20020625,735.43,736.14,1253068,3873937099.00
Bahman Group-a,20020626,736.14,737.81,705519,2183678571.00
Bahman Group-a,20020629,737.57,737.81,213497,660793258.00
Bahman Group-a,20020630,737.33,744.95,908345,2834090765.00
Bahman Group-a,20020701,744.95,751.14,106198,334940836.00
Bahman Group-a,20020702,764.23,763.99,1454362,4650351582.00
Bahman Group-a,20020707,597.39,600.01,49818,125566918.00
Bahman Group-a,20020708,609.29,604.53,897855,2271253154.00
Bahman Group-a,20020709,604.53,619.05,1473496,3819731956.00
Bahman Group-a,20020710,621.43,630.23,857182,2241114943.00
