Name,Date,Open,Close,Volume,OpenInt
F. & Kh. Cement-a,20010325,2159.61,2159.61,1694,6250860.00
F. & Kh. Cement-a,20010326,2166.64,2253.26,30704,115821294.00
F. & Kh. Cement-a,20010327,2253.26,2284.28,32147,125354929.00
F. & Kh. Cement-a,20010328,2284.28,2282.52,2386,9306450.00
F. & Kh. Cement-a,20010331,2279.01,2279.01,7657,29899663.00
F. & Kh. Cement-a,20010403,2279.01,2282.52,14721,57385944.00
F. & Kh. Cement-a,20010408,2270.81,2264.38,5622,21789968.00
F. & Kh. Cement-a,20010409,2212.29,2216.39,43477,164652556.00
F. & Kh. Cement-a,20010410,2194.73,2152.01,33896,125523389.00
F. & Kh. Cement-a,20010411,2152.01,2177.17,59216,220241178.00
F. & Kh. Cement-a,20010414,2171.91,2264.96,66200,250419086.00
F. & Kh. Cement-a,20010415,2264.96,2264.96,9355,36209820.00
F. & Kh. Cement-a,20010416,2253.26,2323.49,41982,162613107.00
F. & Kh. Cement-a,20010417,2341.05,2399.57,8813,35467170.00
F. & Kh. Cement-a,20010418,2446.39,2516.62,44574,187572566.00
F. & Kh. Cement-a,20010421,2516.62,2522.48,54385,234657113.00
F. & Kh. Cement-a,20010422,2522.48,2451.66,93038,393859903.00
F. & Kh. Cement-a,20010423,2451.66,2452.25,41105,172227785.00
F. & Kh. Cement-a,20010424,2451.66,2452.25,83307,351097112.00
F. & Kh. Cement-a,20010425,2452.25,2528.33,161126,684779473.00
F. & Kh. Cement-a,20010428,2528.33,2545.89,104784,453466493.00
F. & Kh. Cement-a,20010429,2562.86,2575.74,26723,117141317.00
F. & Kh. Cement-a,20010430,2575.74,2576.91,37759,166260111.00
F. & Kh. Cement-a,20010501,2577.49,2633.68,28538,128393546.00
F. & Kh. Cement-a,20010502,2633.68,2635.43,47897,215555630.00
F. & Kh. Cement-a,20010505,2635.43,2633.68,49882,224492675.00
F. & Kh. Cement-a,20010506,2627.24,2634.26,39712,178377487.00
F. & Kh. Cement-a,20010507,2634.85,2645.38,21082,95039757.00
F. & Kh. Cement-a,20010508,2651.23,2680.50,20777,94534282.00
F. & Kh. Cement-a,20010509,2633.68,2703.91,28449,130773194.00
F. & Kh. Cement-a,20010512,2703.91,2692.20,12752,57821289.00
F. & Kh. Cement-a,20010513,2692.20,2695.13,44801,206369341.00
F. & Kh. Cement-a,20010515,2695.13,2724.39,26416,122276967.00
F. & Kh. Cement-a,20010516,2724.98,2730.83,77149,361543408.00
F. & Kh. Cement-a,20010519,2744.88,2765.95,10033,47224427.00
F. & Kh. Cement-a,20010520,2781.75,2835.01,17190,81945775.00
F. & Kh. Cement-a,20010521,2839.10,2905.82,14417,70894954.00
F. & Kh. Cement-a,20010523,2911.09,2973.13,10648,53632591.00
F. & Kh. Cement-a,20010526,2973.13,3047.46,15060,77419560.00
F. & Kh. Cement-a,20010527,3123.54,3123.54,15733,83967021.00
F. & Kh. Cement-a,20010528,3154.56,3154.56,8516,45901240.00
F. & Kh. Cement-a,20010529,3185.58,3185.58,11084,60330212.00
F. & Kh. Cement-a,20010530,3217.18,3217.18,13121,72126137.00
F. & Kh. Cement-a,20010602,3248.79,3217.18,37780,209317360.00
F. & Kh. Cement-a,20010603,3185.58,3185.58,13299,72386457.00
F. & Kh. Cement-a,20010606,3153.97,3185.58,60021,323735191.00
F. & Kh. Cement-a,20010609,3174.46,3185.58,54386,295582729.00
F. & Kh. Cement-a,20010611,3186.16,3217.18,48212,262374192.00
F. & Kh. Cement-a,20010612,3217.18,3213.09,21414,117173329.00
F. & Kh. Cement-a,20010613,3182.07,3190.85,36093,196453024.00
F. & Kh. Cement-a,20010616,3190.26,3160.41,7117,38550657.00
F. & Kh. Cement-a,20010617,3131.15,3160.41,47435,254845722.00
F. & Kh. Cement-a,20010618,3131.15,3160.41,74106,398272228.00
F. & Kh. Cement-a,20010619,3157.49,3160.41,63271,340679759.00
F. & Kh. Cement-a,20010620,3154.56,3161.00,45851,246980356.00
F. & Kh. Cement-a,20010623,3134.08,3160.41,33924,182661294.00
F. & Kh. Cement-a,20010624,3134.08,3160.41,21665,116282814.00
F. & Kh. Cement-a,20010625,3160.41,3160.41,33101,178707532.00
F. & Kh. Cement-a,20010626,3160.41,3160.41,22778,122993470.00
F. & Kh. Cement-a,20010627,3158.07,3160.41,36672,197972097.00
F. & Kh. Cement-a,20010630,3131.73,3160.41,31599,170537070.00
F. & Kh. Cement-a,20010701,3160.41,3189.67,81270,440893397.00
F. & Kh. Cement-a,20010702,3158.66,3189.67,30529,166091693.00
F. & Kh. Cement-a,20010703,3189.67,3190.26,14526,78950958.00
F. & Kh. Cement-a,20010704,3221.28,3221.86,24890,136680419.00
F. & Kh. Cement-a,20010707,3254.05,3254.05,29076,161662560.00
F. & Kh. Cement-a,20010708,3286.24,3286.24,34842,195637830.00
F. & Kh. Cement-a,20010709,3319.02,3319.02,14972,84906212.00
F. & Kh. Cement-a,20010710,3351.79,3351.79,8995,51514365.00
F. & Kh. Cement-a,20010711,3385.15,3385.15,13519,78193896.00
F. & Kh. Cement-a,20010714,3418.51,3418.51,8876,51844716.00
F. & Kh. Cement-a,20010715,3452.46,3452.46,16588,97852612.00
F. & Kh. Cement-a,20010716,3538.49,3538.49,36653,221604038.00
F. & Kh. Cement-a,20010717,3573.61,3573.61,14602,89159812.00
F. & Kh. Cement-a,20010718,3609.31,3609.31,5063,31223521.00
F. & Kh. Cement-a,20010721,3645.01,3645.01,119558,744607224.00
F. & Kh. Cement-a,20010722,3645.01,3663.15,140404,877103349.00
F. & Kh. Cement-a,20010723,3663.15,3699.44,38746,243411523.00
F. & Kh. Cement-a,20010724,3736.31,3736.31,49997,318845426.00
F. & Kh. Cement-a,20010827,3043.36,2867.78,6714,31748342.00
F. & Kh. Cement-a,20010828,2896.46,2896.46,11979,59284071.00
F. & Kh. Cement-a,20010829,2919.28,2867.78,25658,127146050.00
F. & Kh. Cement-a,20010901,2839.10,2839.10,4468,21674268.00
F. & Kh. Cement-a,20010902,2811.01,2811.01,1279,6143037.00
F. & Kh. Cement-a,20010904,2740.78,2740.78,5592,26187336.00
F. & Kh. Cement-a,20010905,2713.86,2740.78,216613,1004480788.00
F. & Kh. Cement-a,20010908,2713.86,2713.86,11577,53682549.00
F. & Kh. Cement-a,20010909,2686.94,2686.94,63791,292864481.00
F. & Kh. Cement-a,20010910,2660.60,2660.60,81450,370271700.00
F. & Kh. Cement-a,20010911,2634.26,2634.26,42661,192017161.00
F. & Kh. Cement-a,20010912,2607.93,2607.93,10000,44560000.00
F. & Kh. Cement-a,20010915,2582.17,2582.17,5000,22060000.00
F. & Kh. Cement-a,20010916,2556.42,2556.42,6599,28824432.00
F. & Kh. Cement-a,20010917,2531.26,2531.26,1000,4325000.00
F. & Kh. Cement-a,20010918,2506.09,2506.09,1000,4282000.00
F. & Kh. Cement-a,20010919,2443.47,2443.47,15152,63259600.00
F. & Kh. Cement-a,20010922,2384.36,2383.18,1364467,5649309358.00
F. & Kh. Cement-a,20010923,2383.18,2442.30,99509,414584717.00
F. & Kh. Cement-a,20010924,2466.29,2437.61,120931,505952979.00
F. & Kh. Cement-a,20010925,2434.10,2440.54,71944,299403068.00
F. & Kh. Cement-a,20010926,2440.54,2417.13,101517,420780642.00
F. & Kh. Cement-a,20010929,2417.13,2441.13,73182,303113405.00
F. & Kh. Cement-a,20010930,2446.39,2465.12,41393,173788630.00
F. & Kh. Cement-a,20011002,2489.70,2489.70,78049,331816815.00
F. & Kh. Cement-a,20011003,2514.28,2514.28,886626,3808523412.00
F. & Kh. Cement-a,20011006,2514.28,2514.28,118895,508501891.00
F. & Kh. Cement-a,20011007,2513.11,2538.86,13476,58010370.00
F. & Kh. Cement-a,20011008,2538.86,2519.55,45122,195130609.00
F. & Kh. Cement-a,20011009,2516.04,2516.62,177068,761445657.00
F. & Kh. Cement-a,20011010,2489.70,2516.62,495990,2122803030.00
F. & Kh. Cement-a,20011013,2516.62,2516.62,37496,161243256.00
F. & Kh. Cement-a,20011014,2522.48,2522.48,41931,180778841.00
F. & Kh. Cement-a,20011016,2515.45,2530.67,39284,169416442.00
F. & Kh. Cement-a,20011017,2535.35,2581.00,29620,129052130.00
F. & Kh. Cement-a,20011020,2581.00,2645.38,49259,221827607.00
F. & Kh. Cement-a,20011021,2652.40,2671.72,21522,97925332.00
F. & Kh. Cement-a,20011022,2698.06,2698.06,17289,79702290.00
F. & Kh. Cement-a,20011023,2724.98,2724.98,4697,21869232.00
F. & Kh. Cement-a,20011024,2751.90,2751.90,7053,33163206.00
F. & Kh. Cement-a,20011027,2779.41,2779.41,12400,58887600.00
F. & Kh. Cement-a,20011028,2806.91,2762.43,224789,1065634699.00
F. & Kh. Cement-a,20011029,2776.48,2789.94,14977,71178143.00
F. & Kh. Cement-a,20011030,2817.45,2817.45,13781,66341734.00
F. & Kh. Cement-a,20011031,2845.54,2845.54,16551,80470962.00
F. & Kh. Cement-a,20011103,2873.63,2873.63,11600,56956000.00
F. & Kh. Cement-a,20011104,2902.31,2902.31,43201,214233759.00
F. & Kh. Cement-a,20011105,2930.99,2930.99,39491,197770928.00
F. & Kh. Cement-a,20011106,2960.25,2960.25,37560,189978480.00
F. & Kh. Cement-a,20011107,2989.52,2989.52,25059,128001372.00
F. & Kh. Cement-a,20011110,3019.36,3019.36,18854,97267786.00
F. & Kh. Cement-a,20011111,3049.21,3049.21,211489,1099751197.00
F. & Kh. Cement-a,20011112,3079.65,3018.78,37229,193549106.00
F. & Kh. Cement-a,20011113,2988.93,2988.93,171397,875576860.00
F. & Kh. Cement-a,20011114,2959.08,2959.08,33189,167806395.00
F. & Kh. Cement-a,20011117,2929.82,2929.82,1028,5146168.00
F. & Kh. Cement-a,20011118,2900.56,2900.56,1397,6923532.00
F. & Kh. Cement-a,20011119,2871.88,2929.23,116775,576961194.00
F. & Kh. Cement-a,20011120,2958.50,2958.50,90786,458923230.00
F. & Kh. Cement-a,20011121,2958.50,2984.83,33869,170926240.00
F. & Kh. Cement-a,20011124,2985.42,3014.68,71300,366650355.00
F. & Kh. Cement-a,20011125,3044.53,3044.53,6809,35420418.00
F. & Kh. Cement-a,20011126,3074.96,3031.65,90775,476310320.00
F. & Kh. Cement-a,20011127,3001.81,3001.81,38008,194958506.00
F. & Kh. Cement-a,20011128,2971.96,3031.65,114126,585221238.00
F. & Kh. Cement-a,20011201,3008.83,3061.50,51284,266979247.00
F. & Kh. Cement-a,20011202,3063.84,3091.94,79905,421909554.00
F. & Kh. Cement-a,20011203,3122.37,3122.37,113575,605922625.00
F. & Kh. Cement-a,20011204,3153.39,3153.39,19768,106509984.00
F. & Kh. Cement-a,20011205,3184.41,3184.41,5146,27999386.00
F. & Kh. Cement-a,20011208,3216.01,3216.01,4391,24128545.00
F. & Kh. Cement-a,20011209,3247.62,3247.62,16544,91802656.00
F. & Kh. Cement-a,20011210,3279.81,3279.81,18970,106307880.00
F. & Kh. Cement-a,20011211,3312.58,3312.58,8275,46836500.00
F. & Kh. Cement-a,20011212,3345.35,3345.35,15759,90078444.00
F. & Kh. Cement-a,20011215,3378.71,3378.71,26558,153319334.00
F. & Kh. Cement-a,20011217,3412.07,3412.07,6056,35306480.00
F. & Kh. Cement-a,20011218,3446.02,3446.02,10659,62760192.00
F. & Kh. Cement-a,20011219,3479.96,3479.96,1018215,6054306390.00
F. & Kh. Cement-a,20011222,3514.49,3514.49,517901,3109995505.00
F. & Kh. Cement-a,20011223,3549.61,3549.61,1020285,6188028525.00
F. & Kh. Cement-a,20011224,3584.73,3584.73,708203,4337743375.00
F. & Kh. Cement-a,20020101,3763.82,3763.82,2633322,16934893782.00
F. & Kh. Cement-a,20020102,3951.69,3951.69,1661897,11221128544.00
F. & Kh. Cement-a,20020105,4148.92,4067.57,2479824,17331991940.00
F. & Kh. Cement-a,20020106,4090.98,4079.27,709908,4971832361.00
F. & Kh. Cement-a,20020107,4079.86,4015.48,488433,3351222470.00
F. & Kh. Cement-a,20020108,4014.89,4017.82,1133275,7802262943.00
F. & Kh. Cement-a,20020112,4083.95,4056.45,1123252,7775940579.00
F. & Kh. Cement-a,20020113,4089.81,4096.83,220653,1544331397.00
F. & Kh. Cement-a,20020114,4137.80,4137.80,121865,861585550.00
F. & Kh. Cement-a,20020115,4178.77,4178.77,81002,578354280.00
F. & Kh. Cement-a,20020116,4220.32,4220.32,79202,571125622.00
F. & Kh. Cement-a,20020119,4262.46,4262.46,129425,942602275.00
F. & Kh. Cement-a,20020120,4304.60,4295.82,935367,6852940064.00
F. & Kh. Cement-a,20020121,4301.09,4338.54,144534,1071288638.00
F. & Kh. Cement-a,20020122,4381.85,4381.85,205508,1538638396.00
F. & Kh. Cement-a,20020123,4425.16,4425.16,697725,3791843205.00
F. & Kh. Cement-a,20020126,4425.16,4430.43,466507,3544762512.00
F. & Kh. Cement-a,20020127,4429.26,4426.92,509391,3830913580.00
F. & Kh. Cement-a,20020128,4383.02,4383.02,1140808,8545534496.00
F. & Kh. Cement-a,20020129,4380.10,4383.02,1382559,10326379120.00
