Name,Date,Open,Close,Volume,OpenInt
Iran N. Inv.-a,20010407,834.18,834.76,47984,69383645.00
Iran N. Inv.-a,20010408,834.18,843.39,75530,110498203.00
Iran N. Inv.-a,20010409,851.44,860.07,95741,142641368.00
Iran N. Inv.-a,20010410,862.95,870.43,88636,133554026.00
Iran N. Inv.-a,20010411,873.30,873.88,84753,128850444.00
Iran N. Inv.-a,20010414,873.88,873.88,86324,130961471.00
Iran N. Inv.-a,20010415,873.88,865.82,158154,237913112.00
Iran N. Inv.-a,20010416,862.95,860.65,106042,158286069.00
Iran N. Inv.-a,20010417,851.44,839.36,34471,50395848.00
Iran N. Inv.-a,20010418,834.76,839.36,99559,144713232.00
Iran N. Inv.-a,20010421,839.36,839.36,48328,70351827.00
Iran N. Inv.-a,20010422,835.33,834.18,65176,94381980.00
Iran N. Inv.-a,20010423,834.18,834.18,150931,217427880.00
Iran N. Inv.-a,20010424,834.18,834.18,100411,144774784.00
Iran N. Inv.-a,20010425,822.68,834.18,103139,148754927.00
Iran N. Inv.-a,20010428,839.36,834.18,848560,1255197465.00
Iran N. Inv.-a,20010429,868.70,851.44,376613,567379106.00
Iran N. Inv.-a,20010430,891.71,862.95,411737,625720478.00
Iran N. Inv.-a,20010501,898.62,879.06,217071,333103426.00
Iran N. Inv.-a,20010502,888.26,892.86,197197,305445339.00
Iran N. Inv.-a,20010505,898.62,914.72,155139,244555264.00
Iran N. Inv.-a,20010506,919.33,923.35,224759,359525745.00
Iran N. Inv.-a,20010507,928.53,949.24,142983,233464259.00
Iran N. Inv.-a,20010508,957.87,978.01,183118,309972994.00
Iran N. Inv.-a,20010509,984.34,978.01,347295,596736255.00
Iran N. Inv.-a,20010512,977.43,955.00,96080,159552150.00
Iran N. Inv.-a,20010513,949.82,914.72,56946,92477930.00
Iran N. Inv.-a,20010515,920.48,923.35,614851,983396043.00
Iran N. Inv.-a,20010516,922.78,926.81,90643,145731495.00
Iran N. Inv.-a,20010519,926.81,924.50,51619,82686344.00
Iran N. Inv.-a,20010520,924.50,920.48,66516,106536081.00
Iran N. Inv.-a,20010521,921.05,920.48,118776,190087088.00
Iran N. Inv.-a,20010523,922.78,920.48,85930,138648654.00
Iran N. Inv.-a,20010526,920.48,908.97,68571,108435236.00
Iran N. Inv.-a,20010527,908.97,950.39,137569,223032030.00
Iran N. Inv.-a,20010528,952.69,966.50,2153673,3596557196.00
Iran N. Inv.-a,20010529,966.50,942.91,54925,90619980.00
Iran N. Inv.-a,20010530,926.23,930.26,151297,243922983.00
