Name,Date,Open,Close,Volume,OpenInt
Jaber Hayan P.-a,20010325,377.73,377.73,194,1833300.00
Jaber Hayan P.-a,20010326,377.73,377.73,546,5159700.00
Jaber Hayan P.-a,20010327,377.73,377.69,301,2844275.00
Jaber Hayan P.-a,20010403,377.69,377.73,2000,18898036.00
Jaber Hayan P.-a,20010407,377.73,383.72,7104,68063196.00
Jaber Hayan P.-a,20010408,383.72,383.72,90,864000.00
Jaber Hayan P.-a,20010409,383.72,383.72,50,480000.00
Jaber Hayan P.-a,20010411,383.68,383.72,1482,14226998.00
Jaber Hayan P.-a,20010414,383.72,383.76,670,6432107.00
Jaber Hayan P.-a,20010415,383.76,383.88,180,1728333.00
Jaber Hayan P.-a,20010416,383.92,383.84,720,6914162.00
Jaber Hayan P.-a,20010417,383.84,383.88,1768,16979204.00
Jaber Hayan P.-a,20010418,383.88,383.88,1140,10948139.00
Jaber Hayan P.-a,20010421,384.20,387.72,1197,11597487.00
Jaber Hayan P.-a,20010422,387.72,387.76,453,4394151.00
Jaber Hayan P.-a,20010424,388.08,388.24,153,1485681.00
Jaber Hayan P.-a,20010425,388.60,388.88,3594,34949190.00
Jaber Hayan P.-a,20010428,388.92,388.92,2907,28284610.00
Jaber Hayan P.-a,20010429,389.00,389.36,6222,60554915.00
Jaber Hayan P.-a,20010430,389.52,389.48,3573,34818606.00
Jaber Hayan P.-a,20010501,389.40,389.76,5454,53150165.00
Jaber Hayan P.-a,20010502,389.72,390.24,4236,41311825.00
Jaber Hayan P.-a,20010505,390.76,393.72,22404,220500504.00
Jaber Hayan P.-a,20010506,394.72,396.99,2457,24270434.00
Jaber Hayan P.-a,20010507,397.31,399.91,153,1525614.00
Jaber Hayan P.-a,20010509,406.31,409.51,1319,13456141.00
Jaber Hayan P.-a,20010512,410.90,411.90,1064,10953625.00
Jaber Hayan P.-a,20010513,422.18,422.18,2179,22856679.00
Jaber Hayan P.-a,20010515,432.73,432.73,408,4417008.00
Jaber Hayan P.-a,20010516,443.52,443.52,1606,17820176.00
Jaber Hayan P.-a,20010523,679.51,675.51,38092,638896926.00
Jaber Hayan P.-a,20010526,675.51,659.53,6360,106369341.00
Jaber Hayan P.-a,20010527,659.53,639.54,7894,125935520.00
Jaber Hayan P.-a,20010528,639.54,639.54,9810,156881484.00
Jaber Hayan P.-a,20010529,639.50,631.55,7984,126988718.00
Jaber Hayan P.-a,20010530,631.55,631.47,3536,55868024.00
Jaber Hayan P.-a,20010602,623.63,623.95,6468,101428653.00
Jaber Hayan P.-a,20010603,627.63,627.79,1515,23803086.00
Jaber Hayan P.-a,20010606,627.79,631.51,5532,87269945.00
Jaber Hayan P.-a,20010609,631.47,631.55,4023,63556780.00
Jaber Hayan P.-a,20010611,631.55,631.99,708875,11753618637.00
Jaber Hayan P.-a,20010612,632.67,633.50,1709,27069625.00
Jaber Hayan P.-a,20010613,634.10,640.18,1648,26356282.00
Jaber Hayan P.-a,20010616,640.18,643.70,2380,38282665.00
Jaber Hayan P.-a,20010617,648.37,650.05,6298,102316766.00
Jaber Hayan P.-a,20010618,649.85,652.65,7800,128027304.00
Jaber Hayan P.-a,20010619,654.01,655.53,6109,100118432.00
Jaber Hayan P.-a,20010620,654.61,654.53,8447,138417194.00
Jaber Hayan P.-a,20010623,649.53,649.61,1526,24797518.00
Jaber Hayan P.-a,20010624,649.61,645.54,8822,143157959.00
Jaber Hayan P.-a,20010807,654.41,690.30,31434,536923433.00
Jaber Hayan P.-a,20010808,691.50,700.38,45652,796122758.00
Jaber Hayan P.-a,20010811,700.38,700.18,15906,278330342.00
Jaber Hayan P.-a,20010812,700.30,702.77,35181,618192709.00
Jaber Hayan P.-a,20010813,702.61,703.61,13014,228784637.00
Jaber Hayan P.-a,20010814,703.97,721.20,21588,386815581.00
Jaber Hayan P.-a,20010815,739.23,739.23,3775,69814850.00
Jaber Hayan P.-a,20010818,757.70,757.70,3960,75065760.00
Jaber Hayan P.-a,20010819,776.60,776.60,15814,307250206.00
Jaber Hayan P.-a,20010820,795.99,795.99,57000,1135098000.00
Jaber Hayan P.-a,20010821,799.43,815.85,65125,1315857809.00
Jaber Hayan P.-a,20010822,807.70,807.70,10915,220560552.00
Jaber Hayan P.-a,20010825,799.63,799.63,76000,1520380000.00
Jaber Hayan P.-a,20010826,779.64,779.64,5100,99475500.00
Jaber Hayan P.-a,20010827,760.17,779.92,44806,853358983.00
Jaber Hayan P.-a,20010828,780.72,785.68,7905,155482353.00
Jaber Hayan P.-a,20010829,787.43,787.43,6934,136577178.00
Jaber Hayan P.-a,20010901,779.68,779.68,2177,42489770.00
Jaber Hayan P.-a,20010902,775.32,774.52,3472,67340944.00
Jaber Hayan P.-a,20010903,755.22,755.22,3188,60233028.00
Jaber Hayan P.-a,20010904,747.70,747.70,5163,96579121.00
Jaber Hayan P.-a,20010905,747.66,747.62,3264,61050944.00
Jaber Hayan P.-a,20010908,740.43,740.43,9585,177552915.00
Jaber Hayan P.-a,20010909,733.07,733.03,2492,45702788.00
Jaber Hayan P.-a,20010910,733.03,731.35,1790,32815386.00
Jaber Hayan P.-a,20010911,724.08,724.08,1000,18115000.00
Jaber Hayan P.-a,20010912,721.20,721.40,5328,96189870.00
Jaber Hayan P.-a,20010915,721.40,721.40,1999,36073432.00
Jaber Hayan P.-a,20010916,721.40,714.21,8026,143588630.00
Jaber Hayan P.-a,20010917,714.21,714.21,23,410964.00
Jaber Hayan P.-a,20010918,707.09,707.09,10000,176900000.00
Jaber Hayan P.-a,20010919,699.98,721.40,16124,284405512.00
Jaber Hayan P.-a,20010922,721.52,728.52,10248,185442490.00
Jaber Hayan P.-a,20010923,728.52,728.16,1715,31256771.00
Jaber Hayan P.-a,20010924,727.40,727.44,1000,18198850.00
