Name,Date,Open,Close,Volume,OpenInt
Shazand Petr.-a,20010327,1722.03,1722.03,2000,16633000.00
Shazand Petr.-a,20010328,1679.16,1679.16,13277,105034347.00
Shazand Petr.-a,20010331,1637.34,1702.51,75113,585865699.00
Shazand Petr.-a,20010403,1703.35,1730.74,24200,195848340.00
Shazand Petr.-a,20010407,1761.94,1765.97,20373,168327720.00
Shazand Petr.-a,20010408,1765.76,1759.60,56406,468990964.00
Shazand Petr.-a,20010409,1754.30,1715.67,17753,144458695.00
Shazand Petr.-a,20010410,1715.24,1672.79,8784,69906278.00
Shazand Petr.-a,20010411,1676.82,1650.71,100125,788151231.00
Shazand Petr.-a,20010414,1650.08,1631.19,39975,309205449.00
Shazand Petr.-a,20010415,1623.76,1613.15,53587,409050326.00
Shazand Petr.-a,20010416,1613.15,1653.47,73915,570730858.00
Shazand Petr.-a,20010417,1655.60,1694.65,77721,619781832.00
Shazand Petr.-a,20010418,1695.08,1678.73,57719,459120812.00
Shazand Petr.-a,20010421,1678.52,1662.60,74080,583985159.00
Shazand Petr.-a,20010422,1662.60,1646.05,17561,136404065.00
Shazand Petr.-a,20010423,1641.59,1640.74,59449,458350431.00
Shazand Petr.-a,20010424,1640.74,1676.82,61085,478976617.00
Shazand Petr.-a,20010425,1673.64,1676.82,77301,609853197.00
Shazand Petr.-a,20010428,1693.80,1676.82,102006,809745854.00
Shazand Petr.-a,20010429,1681.49,1677.46,383957,3034588137.00
Shazand Petr.-a,20010430,1678.31,1685.52,95610,756705987.00
Shazand Petr.-a,20010501,1687.65,1688.28,110275,876301300.00
Shazand Petr.-a,20010502,1699.11,1708.66,37940,304179240.00
Shazand Petr.-a,20010505,1719.27,1751.32,17311,141190885.00
Shazand Petr.-a,20010506,1753.87,1794.84,58415,493069640.00
Shazand Petr.-a,20010507,1795.90,1814.79,40335,343620905.00
Shazand Petr.-a,20010508,1825.40,1798.23,95619,815508074.00
Shazand Petr.-a,20010509,1796.75,1782.95,93146,787627549.00
Shazand Petr.-a,20010512,1785.29,1779.77,13398,112728881.00
Shazand Petr.-a,20010513,1778.49,1788.26,114189,954798157.00
Shazand Petr.-a,20010515,1783.16,1788.26,54866,462355610.00
Shazand Petr.-a,20010516,1788.26,1793.56,97270,823479875.00
Shazand Petr.-a,20010519,1793.56,1804.18,75110,634574232.00
Shazand Petr.-a,20010520,1804.18,1787.41,36472,307865086.00
Shazand Petr.-a,20010521,1787.62,1793.35,49397,415276760.00
Shazand Petr.-a,20010523,1793.35,1784.22,15109,127141450.00
Shazand Petr.-a,20010526,1793.56,1802.05,36919,312919630.00
Shazand Petr.-a,20010527,1804.18,1819.88,49179,419696540.00
Shazand Petr.-a,20010528,1837.92,1837.92,57143,494801237.00
Shazand Petr.-a,20010529,1855.12,1819.67,32924,284783814.00
Shazand Petr.-a,20010530,1801.63,1801.63,8359,70951192.00
Shazand Petr.-a,20010602,1783.80,1783.80,24575,206528300.00
Shazand Petr.-a,20010603,1765.97,1765.97,14368,119541760.00
Shazand Petr.-a,20010606,1748.35,1748.35,13963,115013231.00
Shazand Petr.-a,20010609,1730.95,1730.95,27452,223871060.00
Shazand Petr.-a,20010611,1713.33,1734.13,64514,526450670.00
Shazand Petr.-a,20010612,1727.76,1712.48,33814,274789199.00
Shazand Petr.-a,20010613,1710.57,1687.22,45201,360880046.00
Shazand Petr.-a,20010616,1683.19,1667.48,63381,498227275.00
Shazand Petr.-a,20010617,1667.06,1663.24,58838,459140136.00
