Date,Euro-free,Euro-bank,Dollar-bank,Dollar-free,Gold
1392/01/05,45500,32032,24590,34600,1335500
1392/01/06,45800,31641,24592,34800,1342300
1392/01/07,45700,31608,24591,34750,1359700
1392/01/10,45500,31524,24589,34600,1343600
1392/01/11,45000,31524,24589,34100,1336600
1392/01/14,44500,31471,24588,34100,1329700
1392/01/17,45950,31950,24595,35400,1360900
1392/02/25,-,-,-,-,-
1392/02/28,45700,31794,24775,35100,1169300
1392/02/29,44300,31794,24775,34850,1134600
1392/02/30,45000,31790,24773,34700,1130000
1392/02/31,45250,31929,24772,34950,1172700
1392/03/01,45800,32018,24775,35450,1220000
1392/03/02,46500,31812,24775,35600,1213100
1392/03/04,46300,32042,24776,35500,1228100
1392/03/05,46700,32042,24776,35950,1267400
1392/03/06,47150,32022,24778,36150,1246600
1392/03/07,47100,31976,24779,36150,1262800
1392/03/08,47650,31871,24780,36650,1250100
1392/03/09,47600,32114,24782,36300,1245400
1392/03/11,47350,32209,24780,36150,1251200
1392/03/12,47450,32209,24780,36500,1244300
1392/03/13,47350,32234,24781,36450,1230400
1392/03/16,48200,32452,24780,37000,1245400
1392/03/18,48600,32756,24782,36800,1238500
1392/03/19,48300,32756,24782,36500,1231600
1392/03/20,48000,32753,24795,36300,1213100
1392/03/21,47900,32926,24785,36000,1192300
1392/03/22,48200,32970,24767,36300,1224700
1392/03/23,48500,33117,24787,36500,1229300
1392/03/25,46500,33097,24797,34700,1160000
1392/03/26,46900,33097,24798,35200,1184300
1392/03/27,46100,33023,24780,34600,1170400
1392/03/28,46200,33120,24795,34600,1183100
1392/03/29,45900,33184,24782,34200,1153100
1392/03/30,44500,32872,24770,33000,1089600
1392/04/1,42600,32492,24770,32000,1033100
1392/04/2,42500,32492,24770,31500,1022700
1392/04/4,42000,32477,24750,32000,989200
1392/04/5,43500,32344,24755,33000,1014600
1392/04/6,44000,32258,24755,33700,1023800
1392/04/8,44100,32254,24785,33300,1015700
1392/04/9,43600,32254,24785,33300,1027300
1392/04/10,44500,32263,24775,33900,1051500
1392/04/11,44000,32063,24787,33800,1061900
1392/04/12,44000,32161,24790,33500,1045100
1392/04/13,43900,32189,24775,33500,1045800
1392/04/15,43500,31797,24779,33400,1019200
1392/04/16,43100,31797,24779,32950,1008800
1392/04/17,43450,31754,24779,33500,1020400
1392/04/18,43100,31877,24783,33100,1011100
1392/04/19,43000,31677,24789,33000,1012300
1392/04/20,43000,32535,24769,32950,1033100
1392/04/22,43500,32335,24787,32950,1026100
1392/04/23,43000,32335,24787,32900,1025000
1392/04/24,42800,32390,24785,32850,1028400
1392/04/25,42750,32395,24787,32700,1027300
1392/04/26,43000,32561,24782,32500,1023800
1392/04/27,42300,32474,24797,32000,1015300
1392/04/29,41200,32580,24792,30950,992660
1392/04/30,41000,32580,24792,31000,985730
1392/04/31,42000,32608,24789,31900,1005400
1392/05/01,41750,32714,24786,31450,1013400
1392/05/02,41750,32742,24788,31400,1018100
1392/05/03,42000,32731,24787,31500,1019200
1392/05/05,42100,32913,24785,31700,1028400
1392/05/06,42600,32913,24785,31900,1042300
1392/05/07,42550,32922,24788,31700,1033100
1392/05/09,42500,32868,24790,31700,1031900
1392/05/10,42500,32893,24789,31800,1025000
1392/05/12,42600,32919,24787,32100,1055000
1392/05/13,43100,32919,24787,32600,1046900
1392/05/14,42800,32909,24789,32000,1032600
1392/05/15,42750,32876,24792,32100,1023400
1392/05/16,42800,32963,24790,32000,1027300
1392/05/17,43000,33064,24791,32300,1033100
1392/05/20,42900,33076,24792,32100,1037700
1392/05/21,42800,33033,24790,32200,1051500
1392/05/22,42900,32996,24794,32300,1040000
1392/05/23,42550,32879,24793,32000,1035400
1392/05/24,42500,32967,24791,31900,1042300
